rnn_type,units,learning_rate,dropout,batch_size,optimizer,output_activation,best_val_loss,r2_val,rmse_val,mae_val,epochs_trained
GRU,10,0.0005,0.2,64,rmsprop,relu,0.1871824413537979,-2.8068863354083833,0.8155939190766864,0.7125435679238291,15
GRU,16,0.0005,0.2,64,adam,relu,0.1788565069437027,-2.8125383927900947,0.8161991477945229,0.7315584721080661,15
LSTM,5,0.0005,0.2,64,adam,relu,0.2226102650165558,-2.9511830326710244,0.830907345298068,0.7566997576453725,15
LSTM,10,0.001,0.0,64,adam,relu,0.11033853888511658,-3.0903496217708497,0.8454136185838456,0.7581219017338009,15
GRU,5,0.001,0.2,64,adam,relu,0.16019581258296967,-3.1728546138129223,0.8538973209097072,0.7801297744102778,15
LSTM,10,0.0005,0.2,64,rmsprop,relu,0.16014032065868378,-3.258647723845848,0.8626306449854909,0.7652631615819411,15
LSTM,10,0.001,0.2,64,rmsprop,relu,0.1302434504032135,-3.3205799280920134,0.8688804907040252,0.7724508983986453,15
GRU,16,0.0005,0.0,64,rmsprop,relu,0.20642943680286407,-3.4189603101993473,0.8787170931096784,0.7903714089021088,15
GRU,10,0.0005,0.0,64,rmsprop,relu,0.1846962720155716,-3.4428186267427865,0.8810860314673876,0.7814309961274267,15
GRU,5,0.001,0.2,64,rmsprop,relu,0.24119658768177032,-3.5144887624688357,0.8881642992655042,0.7858561047092081,15
LSTM,10,0.0005,0.0,64,rmsprop,relu,0.8235645294189453,-3.7132416691366403,0.9075046904604473,0.8055506751053036,15
