rnn_type,units,learning_rate,dropout,batch_size,optimizer,output_activation,best_val_loss,r2_val,rmse_val,mae_val,epochs_trained
GRU,5,0.001,0.0,64,rmsprop,relu,0.01997554302215576,0.8856804394280591,0.1413348613849048,0.0839630566562414,200
GRU,16,0.001,0.2,64,adam,relu,0.03876446560025215,0.09044063798138147,0.39866173112476166,0.30466471959531305,15
GRU,10,0.001,0.2,64,rmsprop,relu,0.038525212556123734,0.011411402383361025,0.415620368036239,0.3305932192761302,15
GRU,16,0.0005,0.0,64,adam,relu,0.07447653263807297,-0.09533904436863905,0.43748514251178383,0.37478292669045926,15
GRU,5,0.0005,0.0,64,rmsprop,relu,0.07153139263391495,-0.1693612310632704,0.4520259521652194,0.34571658973458413,15
GRU,5,0.0005,0.2,64,rmsprop,relu,0.1465969830751419,-0.22468102403613877,0.4625945569752912,0.3750209786463976,15
LSTM,16,0.001,0.2,64,adam,relu,0.09463384747505188,-0.2941779256459609,0.47553886628294867,0.39867183586812016,15
GRU,10,0.001,0.0,64,rmsprop,relu,0.04711805656552315,-0.3702850801683042,0.4893217143703218,0.42355790313583613,15
LSTM,16,0.001,0.2,64,rmsprop,relu,0.07079953700304031,-0.5337286664920171,0.5176822704622155,0.44239234707117076,15
LSTM,16,0.0005,0.2,64,rmsprop,relu,0.11224445700645447,-0.5830369447665167,0.5259379985623657,0.472791287563324,15
GRU,16,0.001,0.0,64,rmsprop,relu,0.03176809474825859,-0.6811091487291137,0.5419846415267405,0.4755678558732271,15
LSTM,5,0.0005,0.0,64,rmsprop,relu,0.14782941341400146,-0.7118155084871143,0.5469120628507604,0.4773428203294799,15
LSTM,5,0.0005,0.2,64,rmsprop,relu,0.15974357724189758,-0.8554262685563243,0.5693913622490703,0.511425793913193,15
GRU,16,0.001,0.2,64,rmsprop,relu,0.07576701790094376,-0.9250861403001955,0.5799814557992566,0.469057972891748,15
LSTM,16,0.001,0.0,64,rmsprop,relu,0.09749981015920639,-1.0637748496071961,0.6005099142554232,0.518057230014354,15
GRU,5,0.001,0.0,64,adam,relu,0.1586054414510727,-1.225299890337518,0.6235672493678354,0.5054783789272607,15
GRU,5,0.0005,0.0,64,adam,relu,0.15925517678260803,-1.2945272019285845,0.6331923065515538,0.559210487165451,15
LSTM,10,0.001,0.0,64,rmsprop,relu,0.10902931541204453,-1.3068587162668086,0.634891514374536,0.5529681200960129,15
LSTM,16,0.0005,0.2,64,adam,relu,0.11386024206876755,-1.4450981770643008,0.6536378232400661,0.5948160853092559,15
LSTM,10,0.0005,0.0,64,adam,relu,0.15893100202083588,-1.6065685981397406,0.6748754088055947,0.6150291836438327,15
LSTM,5,0.001,0.0,64,adam,relu,0.15664571523666382,-1.7350928829873848,0.6913135412686747,0.6254644745513798,15
LSTM,5,0.001,0.0,64,rmsprop,relu,0.1173168271780014,-1.7390613811528328,0.6918148920807508,0.5977717749048025,15
GRU,16,0.0005,0.2,64,rmsprop,relu,0.06853616237640381,-1.7795557424315587,0.6969100349984566,0.609095432760194,15
GRU,16,0.001,0.0,64,adam,relu,0.05355765298008919,-1.8407490761396468,0.7045396854314533,0.6399305200912356,15
GRU,10,0.001,0.0,64,adam,relu,0.10180019587278366,-1.9140172968556923,0.713567541426852,0.6244792072027923,15
LSTM,5,0.0005,0.0,64,adam,relu,0.13790647685527802,-2.157686276056178,0.7428027687660872,0.6783983498708903,15
LSTM,16,0.001,0.0,64,adam,relu,0.08042509108781815,-2.193269455890177,0.7469762738141957,0.6457740370352716,15
LSTM,10,0.001,0.2,64,adam,relu,0.13134805858135223,-2.2352169729181406,0.7518664919404348,0.6769102785754949,15
LSTM,5,0.001,0.2,64,rmsprop,relu,0.14315462112426758,-2.2588311427413563,0.7546054770751491,0.644760651608929,15
GRU,10,0.001,0.2,64,adam,relu,0.08895302563905716,-2.4162689760756764,0.7726184105138266,0.6860092997523026,15
LSTM,16,0.0005,0.0,64,adam,relu,0.11966046690940857,-2.4932221936372776,0.781271765307614,0.7027418484091759,15
GRU,10,0.0005,0.0,64,adam,relu,0.16995500028133392,-2.51180694731154,0.7833472820665517,0.6826088752197101,15
LSTM,5,0.001,0.2,64,adam,relu,0.15370306372642517,-2.5366229009558277,0.7861101458755854,0.6588930755849108,15
LSTM,16,0.0005,0.0,64,rmsprop,relu,0.10941145569086075,-2.6117411852736,0.7944148152951739,0.7091682663857938,15
GRU,10,0.0005,0.2,64,adam,relu,0.18221789598464966,-2.6756503582956657,0.8014125157377476,0.7335451292870567,15
LSTM,10,0.0005,0.2,64,adam,relu,0.19074270129203796,-2.7066040601481474,0.8047799030530487,0.7182469047345221,15
GRU,5,0.0005,0.2,64,adam,relu,0.1588776558637619,-2.758863472669338,0.8104333419706,0.7380084575568326,15
